source,metric,n,mean,median,iqr,q25,q75
gpt_run3,effort_required,55,3.5636,4.0,1.0,3.0,4.0
gpt_run3,mental_demand,55,3.5273,4.0,1.0,3.0,4.0
gpt_run3,perceived_controllability,55,3.0182,3.0,0.0,3.0,3.0
gpt_run3,temporal_demand,55,2.2545,2.0,0.5,2.0,2.5
gpt_run3,trust,55,3.2364,3.0,1.0,3.0,4.0
gpt_run4,accomplishment,55,3.4909,4.0,3.0,2.0,5.0
gpt_run4,effort_required,55,3.5455,4.0,1.0,3.0,4.0
gpt_run4,mental_demand,55,3.6,4.0,1.0,3.0,4.0
gpt_run4,perceived_controllability,55,2.9455,3.0,1.0,2.0,3.0
gpt_run4,temporal_demand,55,2.1273,2.0,0.0,2.0,2.0
gpt_run4,trust,55,3.2182,3.0,2.0,2.0,4.0
gpt_run5,accomplishment,55,3.5091,4.0,2.0,2.0,4.0
gpt_run5,effort_required,55,3.5455,4.0,1.0,3.0,4.0
gpt_run5,mental_demand,55,3.5818,4.0,1.0,3.0,4.0
gpt_run5,perceived_controllability,55,2.9818,3.0,1.5,2.0,3.5
gpt_run5,temporal_demand,55,2.2727,2.0,1.0,2.0,3.0
gpt_run5,trust,55,3.2364,3.0,1.0,3.0,4.0
gpt_med,accomplishment,55,3.5273,4.0,3.0,2.0,5.0
gpt_med,effort_required,55,3.5636,4.0,1.0,3.0,4.0
gpt_med,mental_demand,55,3.6,4.0,1.0,3.0,4.0
gpt_med,perceived_controllability,55,2.9636,3.0,1.0,2.0,3.0
gpt_med,temporal_demand,55,2.2182,2.0,0.0,2.0,2.0
gpt_med,trust,55,3.2182,3.0,1.0,3.0,4.0
