source,metric,n,mean,median,iqr,q25,q75
gpt_run3,effort_required,55,3.2,3.0,0.0,3.0,3.0
gpt_run3,mental_demand,55,4.0,4.0,0.0,4.0,4.0
gpt_run3,perceived_controllability,55,3.8182,4.0,0.0,4.0,4.0
gpt_run3,temporal_demand,55,2.1818,2.0,0.0,2.0,2.0
gpt_run3,trust,55,4.7455,5.0,0.5,4.5,5.0
gpt_run4,accomplishment,55,4.8545,5.0,0.0,5.0,5.0
gpt_run4,effort_required,55,3.3273,3.0,1.0,3.0,4.0
gpt_run4,mental_demand,55,4.0,4.0,0.0,4.0,4.0
gpt_run4,perceived_controllability,55,3.8,4.0,0.0,4.0,4.0
gpt_run4,temporal_demand,55,2.2,2.0,0.0,2.0,2.0
gpt_run4,trust,55,4.7818,5.0,0.0,5.0,5.0
gpt_run5,accomplishment,55,4.7455,5.0,0.5,4.5,5.0
gpt_run5,effort_required,55,3.2727,3.0,1.0,3.0,4.0
gpt_run5,mental_demand,55,4.0,4.0,0.0,4.0,4.0
gpt_run5,perceived_controllability,55,3.7273,4.0,1.0,3.0,4.0
gpt_run5,temporal_demand,55,2.2,2.0,0.0,2.0,2.0
gpt_run5,trust,55,4.6727,5.0,1.0,4.0,5.0
gpt_med,accomplishment,55,4.9273,5.0,0.0,5.0,5.0
gpt_med,effort_required,55,3.1545,3.0,0.0,3.0,3.0
gpt_med,mental_demand,55,4.0,4.0,0.0,4.0,4.0
gpt_med,perceived_controllability,55,3.8818,4.0,0.0,4.0,4.0
gpt_med,temporal_demand,55,2.0818,2.0,0.0,2.0,2.0
gpt_med,trust,55,4.7909,5.0,0.0,5.0,5.0
